,a,b,a_count,b_count,ab_count,pmi
50266,galanga,lemongrass,7,44,7,7.82211857038647
47742,salmon_roe,smoked_salmon,9,107,6,6.52801426173466
34546,mussel,squid,53,47,11,6.1837639618409215
49781,lavender,savory,64,155,40,6.092879458139749
4156,melon,watermelon,164,102,33,5.377976524662742
6045,parsnip,rutabaga,131,40,10,5.344816519983689
44170,caviar,smoked_salmon,27,107,5,5.247080416272596
24735,lobster,mussel,107,53,9,5.160412033626923
8371,mussel,saffron,53,127,10,5.094414297288064
9784,parsnip,turnip,131,174,31,5.006042786374197
2138,porcini,shiitake,61,125,10,4.969705695823165
34806,chicory,endive,81,81,8,4.89685143663969
52623,caraway,rye_flour,215,147,38,4.882823749124718
41717,brassica,kale,53,100,6,4.822605573992573
48886,mussel,scallop,53,168,10,4.814637404343396
19880,roasted_peanut,thai_pepper,148,43,7,4.793805963902367
32291,chickpea,roasted_sesame_seed,417,119,54,4.783082535958675
28740,rye_bread,sauerkraut,118,230,28,4.729748781091075
47329,fenugreek,turmeric,769,930,729,4.717706380660443
4972,scallop,squid,168,47,8,4.71163816487125
37548,rutabaga,turnip,40,174,7,4.704283600031579
47802,galanga,lime,7,1000,7,4.698552925322594
42505,lime_peel_oil,melon,105,164,17,4.685694770379225
13474,kiwi,papaya,121,43,5,4.658755455448528
47126,oyster,shiitake,184,125,22,4.65410116275176
52509,cod,haddock,156,41,6,4.634639599578941
48112,peanut_oil,thai_pepper,125,43,5,4.626232263742968
38576,mango,papaya,352,43,14,4.62053424262833
31580,pistachio,rose,209,49,9,4.569378231565513
15395,coriander,fenugreek,1129,769,762,4.568076226336071
860,chicory,watercress,81,89,6,4.514982149128207
2325,seaweed,sesame_oil,18,356,5,4.450443627990636
51421,fennel,lavender,866,64,42,4.421209830665992
561,bay,lovage,1319,168,166,4.409702860540701
22936,sweet_potato,yam,561,70,29,4.39538788671915
11676,lobster,saffron,107,127,10,4.391877376378279
19181,coriander,turmeric,1129,930,751,4.363441705771902
42660,endive,watercress,81,89,5,4.3326605923342525
4382,catfish,okra,89,98,6,4.324463825130074
29435,chervil,tarragon,36,415,10,4.297095838611969
47306,lime_peel_oil,watermelon,105,102,7,4.27328518991825
35754,dill,smoked_fish,1280,6,5,4.269371290597114
50031,crab,lovage,618,168,66,4.245510509470207
43766,caraway,sauerkraut,215,230,31,4.231578071739019
37204,popcorn,roasted_peanut,130,148,12,4.226468129873034
46526,anise_seed,rye_flour,67,147,6,4.2029424673630835
15893,pork,pork_liver,1731,6,6,4.149853649128522
22559,lime_juice,lime_peel_oil,1451,105,88,4.149676415741227
7320,chayote,squash,17,627,6,4.123907788843649
9797,peanut_oil,sesame_oil,125,356,23,4.038557952079549
40826,barley,cereal,257,296,39,4.030434311215098
8778,citrus,currant,96,206,10,4.016668937041359
4153,marjoram,sage,703,1147,403,4.004982757311379
51025,grape,melon,380,164,31,4.000257728245248
19042,galanga,lime_juice,7,1451,5,3.9898277147993304
47454,cured_pork,provolone_cheese,325,196,31,3.978355567229623
9679,lima_bean,okra,158,98,7,3.9046558416625055
43330,avocado,palm,800,25,9,3.9000452291048227
11822,mussel,shrimp,53,1051,25,3.8973947447438593
41474,peanut,popcorn,414,130,24,3.8909616103717797
12779,coconut,galanga,1618,7,5,3.880889870065081
51788,blackberry,blueberry,166,670,49,3.878863001673803
15164,gruyere_cheese,milk_fat,39,821,14,3.871280778337915
29555,dill,salmon_roe,1280,9,5,3.8639061824889493
20632,haddock,smoke,41,455,8,3.8518802603293087
5624,sesame_seed,wasabi,510,55,12,3.849470943141889
21540,kiwi,strawberry,121,1251,62,3.8059535332861705
49402,lemongrass,shallot,44,616,11,3.7967668796513205
46890,shallot,shiitake,616,125,31,3.7887347079540565
12081,catfish,lovage,89,168,6,3.7854673243973873
50876,rye_bread,swiss_cheese,118,703,33,3.7767742494948817
48492,scallop,shrimp,168,1051,69,3.7589533586217803
724,lobster,scallop,107,168,7,3.7554255394948792
33773,ginger,lovage,2613,168,168,3.7380539387841187
13933,cardamom,rose,269,49,5,3.7292144390263657
10271,tuna,wasabi,483,55,10,3.7215434584137332
10499,kidney_bean,lima_bean,623,158,37,3.7200845651345356
29192,sesame_oil,sesame_seed,356,510,68,3.716474452910436
24425,porcini,shallot,61,616,14,3.711244706213159
48340,blackberry,raspberry,166,830,51,3.70472034788187
2099,fennel,pork_sausage,866,1631,517,3.693517567629711
32297,sesame_oil,soy_sauce,356,1794,233,3.69021288439966
42772,shrimp,squid,1051,47,18,3.6890349896138863
39894,barley,lentil,257,247,23,3.683337998710684
3603,cilantro,galanga,1981,7,5,3.6784789209849675
31114,soybean,thai_pepper,452,43,7,3.6773360578342507
718,coconut_oil,turmeric,18,930,6,3.67251132948932
40863,nectarine,peach,58,533,11,3.6652390423908376
18911,kiwi,melon,121,164,7,3.6565613799391046
48467,fig,goat_cheese,107,266,10,3.6525681540551713
50037,anise_seed,caraway,67,215,5,3.6404154692202026
1790,peanut,peanut_butter,414,1050,150,3.6345320814241036
51169,lemongrass,turmeric,44,930,14,3.6259913138544273
21686,mace,savory,115,155,6,3.6097104282502896
42650,lobster,lovage,107,168,6,3.6012748596676207
40464,brassica,smoke,53,455,8,3.5951604134814947
4447,caraway,roasted_pork,215,127,9,3.5887076670546967
44809,roasted_sesame_seed,sesame_seed,119,510,20,3.5885062590288213
43328,saffron,scallop,127,168,7,3.584067287498194
8933,clove,honey,10,2454,8,3.5776900277196644
43633,fenugreek,lemongrass,769,44,11,3.574922873679197
7259,sauerkraut,smoked_sausage,230,336,25,3.569993560286532
27118,leek,turnip,357,174,20,3.565249396864554
32679,broccoli,cauliflower,1180,387,147,3.565046380593975
42277,blueberry,kiwi,670,121,26,3.5613364843444604
52046,kiwi,mandarin,121,335,13,3.5613364843444604
3123,fig,plum,107,234,8,3.5575997961649595
52152,lemongrass,sesame_oil,44,356,5,3.55662575196854
39691,chervil,shallot,36,616,7,3.545452451370415
20943,grape,mandarin,380,335,40,3.540885873873169
35615,carob,oat,12,1593,6,3.5397867138347374
15431,fennel,savory,866,155,42,3.5366677971064178
38049,rutabaga,sweet_potato,40,561,7,3.5336179937234116
